category_id,path,group_name
iBDxa3BbcUz8XWrr5pgq2Z,CD・DVD・ブルーレイ > CD > K-POP・アジア
NRmuRJDwdc7hCX2BfQAEEX,CD・DVD・ブルーレイ > CD > その他
vSeVcfDH4ZCiFW3MnkgYuH,CD・DVD・ブルーレイ > CD > アニメ
YbTXvWZHRGNs2syNPNkdP8,CD・DVD・ブルーレイ > CD > キッズ・ファミリー
LrEaPz8PYjHUEQLCa4bhfY,CD・DVD・ブルーレイ > CD > クラシック
n5R2zsg3o3DvTsvFyNRcv9,CD・DVD・ブルーレイ > CD > ゲーム・声優
Ji8oamkZRBnveanEzPpFYM,CD・DVD・ブルーレイ > CD > ジャズ
zi8hFFx79gYfYEU7RYqpuL,CD・DVD・ブルーレイ > CD > 洋楽
rPQSQquZSKemhCRnd67Lpc,CD・DVD・ブルーレイ > CD > 邦楽
4hW9cpTYfv4a7AZARyHVaX,CD・DVD・ブルーレイ > DVD > TVドラマ
WpyLrZRaMsKaHEF5HpDEQf,CD・DVD・ブルーレイ > DVD > お笑い・バラエティ
ruVAgLCwRsTJ2APvnmNb33,CD・DVD・ブルーレイ > DVD > その他
omShhiXghyLWmczDTnbTTX,CD・DVD・ブルーレイ > DVD > アジア映画
fkEL5JDHpV3HjkD8QDkRGW,CD・DVD・ブルーレイ > DVD > アニメ
psi8Naqyj78c75voyNxAfX,CD・DVD・ブルーレイ > DVD > キッズ・ファミリー
FKNGQHae2HuUZVXc4by2K7,CD・DVD・ブルーレイ > DVD > スポーツ・フィットネス
B2LniTX73pDQZXSGVa7P49,CD・DVD・ブルーレイ > DVD > ミュージカル・演劇
QBz2AnPBSr7iEbnjnXJY6e,CD・DVD・ブルーレイ > DVD > ミュージック
T8z4ZwUmmFiN3YybCWt8UJ,CD・DVD・ブルーレイ > DVD > 洋画・外国映画
tkhg2TENS3SWUG6V6YV6Vh,CD・DVD・ブルーレイ > DVD > 邦画・日本映画
o5Xw5vKLMdrzptkzGvVyge,CD・DVD・ブルーレイ > VHS・ビデオテープ > TVドラマ
Maf9fTkrR7xBagrwvn7zdC,CD・DVD・ブルーレイ > VHS・ビデオテープ > お笑い・バラエティ
isiiXeTmuEyGPY3pwqMiuM,CD・DVD・ブルーレイ > VHS・ビデオテープ > その他
SfqYeETYBKBZsUNVNXMWCj,CD・DVD・ブルーレイ > VHS・ビデオテープ > アジア映画
QEWiTRQ2PDMo5EdG67W7vT,CD・DVD・ブルーレイ > VHS・ビデオテープ > アニメ
EiY5CZKut3zwBLRrzw7PUJ,CD・DVD・ブルーレイ > VHS・ビデオテープ > キッズ・ファミリー
ydZUjcAczRHd35pWZuNQ8f,CD・DVD・ブルーレイ > VHS・ビデオテープ > スポーツ・フィットネス
fczUz8zNjKaHzMvywoF4Q5,CD・DVD・ブルーレイ > VHS・ビデオテープ > ミュージカル・演劇
285nSqa92ovPW3d6W7sMSg,CD・DVD・ブルーレイ > VHS・ビデオテープ > ミュージック
Zsqag4vbCwBif7oUzyURGj,CD・DVD・ブルーレイ > VHS・ビデオテープ > 洋画・外国映画
4QtDowodRvjovkPVNuKz3h,CD・DVD・ブルーレイ > VHS・ビデオテープ > 邦画・日本映画
ewLxesoHoC6JzSws7rPvde,CD・DVD・ブルーレイ > カセットテープ > その他
g7gYwHjnuoMMvMW25YKexf,CD・DVD・ブルーレイ > カセットテープ > 洋楽
9uynGvcR87uQGYLQPMpPvN,CD・DVD・ブルーレイ > カセットテープ > 邦楽
puSsYWfyWqCw9gT32Rm9Ah,CD・DVD・ブルーレイ > ブルーレイ > TVドラマ
AENC6LiWPx5a4zeskGUHs9,CD・DVD・ブルーレイ > ブルーレイ > お笑い・バラエティ
3izTdEVhKrfDREUtTgZGC6,CD・DVD・ブルーレイ > ブルーレイ > その他
v8NrqpJkEQigzwAmryxvJG,CD・DVD・ブルーレイ > ブルーレイ > アジア映画
9HkCJ5cZ8mPSq2J5dg7UY3,CD・DVD・ブルーレイ > ブルーレイ > アニメ
5LVuXBePAWmBTCa6i3g3pf,CD・DVD・ブルーレイ > ブルーレイ > キッズ・ファミリー
