category_id,path
1033,おもちゃ・ホビー・ゲーム>フィギュア>戦隊シリーズ
1046,おもちゃ・ホビー・ゲーム>フィギュア>特撮・ヒーロー
1055,おもちゃ・ホビー・ゲーム>フィギュア>アニメ・コミック
1080,おもちゃ・ホビー・ゲーム>フィギュア>アメコミ（アメリカンコミック）
1091,おもちゃ・ホビー・ゲーム>フィギュア>ゲーム
1110,おもちゃ・ホビー・ゲーム>フィギュア>スポーツ
1117,おもちゃ・ホビー・ゲーム>フィギュア>格闘技
1124,おもちゃ・ホビー・ゲーム>フィギュア>芸能人・タレント
1136,おもちゃ・ホビー・ゲーム>フィギュア>時代劇
1137,おもちゃ・ホビー・ゲーム>フィギュア>その他
1139,おもちゃ・ホビー・ゲーム>趣味・コレクション>ソフビ（ソフトビニール人形）
1143,おもちゃ・ホビー・ゲーム>趣味・コレクション>鉄道模型
1173,おもちゃ・ホビー・ゲーム>趣味・コレクション>プラモデル
1250,おもちゃ・ホビー・ゲーム>趣味・コレクション>ラジコン
1302,おもちゃ・ホビー・ゲーム>趣味・コレクション>ミニカー
1396,おもちゃ・ホビー・ゲーム>趣味・コレクション>カード・トレーディングカード
1436,おもちゃ・ホビー・ゲーム>趣味・コレクション>キャラクターグッズ
1439,おもちゃ・ホビー・ゲーム>趣味・コレクション>アニメグッズ
1442,おもちゃ・ホビー・ゲーム>趣味・コレクション>スポーツグッズ
1445,おもちゃ・ホビー・ゲーム>趣味・コレクション>F1グッズ
1459,おもちゃ・ホビー・ゲーム>趣味・コレクション>格闘技グッズ
1463,おもちゃ・ホビー・ゲーム>趣味・コレクション>芸能人・タレントグッズ
1466,おもちゃ・ホビー・ゲーム>趣味・コレクション>テレカ・プリペイドカード
1472,おもちゃ・ホビー・ゲーム>趣味・コレクション>喫煙具（ジッポ・パイプ・灰皿）
1484,おもちゃ・ホビー・ゲーム>趣味・コレクション>ビリヤード
1490,おもちゃ・ホビー・ゲーム>趣味・コレクション>ダーツ
1503,おもちゃ・ホビー・ゲーム>趣味・コレクション>パチンコ
1525,おもちゃ・ホビー・ゲーム>趣味・コレクション>パチスロ
1555,おもちゃ・ホビー・ゲーム>趣味・コレクション>パズル
1579,おもちゃ・ホビー・ゲーム>趣味・コレクション>手品・マジック
1588,おもちゃ・ホビー・ゲーム>趣味・コレクション>アンティークトイ
1612,おもちゃ・ホビー・ゲーム>趣味・コレクション>切手・官製はがき
1646,おもちゃ・ホビー・ゲーム>趣味・コレクション>貨幣
1661,おもちゃ・ホビー・ゲーム>趣味・コレクション>記念メダル
1662,おもちゃ・ホビー・ゲーム>趣味・コレクション>イヤープレート
1663,おもちゃ・ホビー・ゲーム>趣味・コレクション>模型
1672,おもちゃ・ホビー・ゲーム>趣味・コレクション>ミリタリー・トイガン
1687,おもちゃ・ホビー・ゲーム>趣味・コレクション>その他
1689,おもちゃ・ホビー・ゲーム>テレビゲーム>Nintendo 3DS
1739,おもちゃ・ホビー・ゲーム>テレビゲーム>Nintendo DS
1802,おもちゃ・ホビー・ゲーム>テレビゲーム>Wii
1818,おもちゃ・ホビー・ゲーム>テレビゲーム>Xbox360
1832,おもちゃ・ホビー・ゲーム>テレビゲーム>プレイステーション・ヴィータ
1849,おもちゃ・ホビー・ゲーム>テレビゲーム>プレイステーション・ポータブル
1945,おもちゃ・ホビー・ゲーム>テレビゲーム>プレイステーション3
2002,おもちゃ・ホビー・ゲーム>テレビゲーム>プレイステーション2
2141,おもちゃ・ホビー・ゲーム>テレビゲーム>プレイステーション
2225,おもちゃ・ホビー・ゲーム>テレビゲーム>ゲームキューブ
2280,おもちゃ・ホビー・ゲーム>テレビゲーム>ゲームボーイアドバンス
2328,おもちゃ・ホビー・ゲーム>テレビゲーム>NINTENDO 64
2352,おもちゃ・ホビー・ゲーム>テレビゲーム>ゲームボーイ
2368,おもちゃ・ホビー・ゲーム>テレビゲーム>スーパーファミコン
2385,おもちゃ・ホビー・ゲーム>テレビゲーム>Xbox
2400,おもちゃ・ホビー・ゲーム>テレビゲーム>ドリームキャスト
2415,おもちゃ・ホビー・ゲーム>テレビゲーム>セガサターン
2420,おもちゃ・ホビー・ゲーム>テレビゲーム>メガドライブ
2425,おもちゃ・ホビー・ゲーム>テレビゲーム>ファミコン
2442,おもちゃ・ホビー・ゲーム>テレビゲーム>PC-Engine
2447,おもちゃ・ホビー・ゲーム>テレビゲーム>NEOGEO
2452,おもちゃ・ホビー・ゲーム>テレビゲーム>ワンダースワン
